coordinate: [-1.70485306  0.37682176  0.07230879], label: 2, color: b, marker: +
coordinate: [-2.82080722 -0.81245157 -0.63387857], label: 2, color: b, marker: +
coordinate: [-2.47169793  0.43408154  0.05182806], label: 2, color: b, marker: +
coordinate: [ 0.29818106 -0.47540955 -0.82417139], label: 0, color: g, marker: +
coordinate: [-0.288148    0.35480508 -0.61083899], label: 0, color: g, marker: +
coordinate: [5.26406081 0.37940403 0.74953474], label: 3, color: y, marker: _
coordinate: [-1.16523883 -0.61432395 -0.84838473], label: 2, color: b, marker: +
coordinate: [-1.96460806 -0.24293175 -0.16129646], label: 2, color: b, marker: +
coordinate: [-1.94264013 -0.16238261  0.10116453], label: 2, color: b, marker: +
coordinate: [ 2.01088959 -0.48480719 -1.82301019], label: 0, color: g, marker: _
coordinate: [ 4.92774627  0.54021174 -0.5625817 ], label: 3, color: y, marker: _
coordinate: [ 2.30566126  2.05133901 -0.39317474], label: 0, color: g, marker: _
coordinate: [-1.4310602   0.69705122  0.10833321], label: 2, color: b, marker: +
coordinate: [ 2.01805839  0.06616395 -1.14682189], label: 0, color: g, marker: _
coordinate: [ 2.36969567  0.79535787 -0.52376969], label: 0, color: g, marker: _
coordinate: [-1.64564919  0.20204096  1.17514318], label: 2, color: b, marker: +
coordinate: [-3.33676698 -0.62003313 -0.16657678], label: 2, color: b, marker: +
coordinate: [-1.04267614 -0.91800522 -0.0159833 ], label: 2, color: b, marker: +
coordinate: [-4.43623026 -0.65376792  1.0919098 ], label: 2, color: b, marker: +
coordinate: [ 5.46863701 -0.48154604 -0.40367139], label: 3, color: y, marker: _
coordinate: [ 6.55139703 -1.66084352 -1.66678079], label: 3, color: y, marker: _
coordinate: [-2.72870945  0.13459555 -0.0516975 ], label: 2, color: b, marker: +
coordinate: [-2.47217465 -1.29334458 -0.18382084], label: 2, color: b, marker: +
coordinate: [ 4.13167145 -0.78813637  0.47333052], label: 3, color: y, marker: _
coordinate: [-0.21875831 -0.46186008 -0.60948841], label: 0, color: g, marker: +
coordinate: [ 3.33603409  1.04255133 -0.94308133], label: 3, color: y, marker: _
coordinate: [-3.14804723  0.22967777  1.3048467 ], label: 2, color: b, marker: +
coordinate: [ 0.0221137  -0.65683084 -1.32587685], label: 0, color: g, marker: +
coordinate: [0.18540635 0.11223746 0.09676204], label: 0, color: g, marker: _
coordinate: [-1.53060079 -0.96203728 -0.66239136], label: 2, color: b, marker: +
coordinate: [-2.43307518  0.85094988 -0.007907  ], label: 2, color: b, marker: +
coordinate: [ 3.00167495  2.05171604 -0.29388657], label: 0, color: g, marker: _
coordinate: [ 1.81241655 -1.08631082 -0.08274663], label: 0, color: g, marker: _
coordinate: [-3.34963917 -1.08559943  0.04082987], label: 2, color: b, marker: +
coordinate: [ 8.35615242 -2.94467985  0.67254812], label: 1, color: r, marker: _
coordinate: [ 4.42763248 -0.1444087  -1.91111673], label: 3, color: y, marker: _
coordinate: [-2.20154887 -0.05752261 -0.21690412], label: 2, color: b, marker: +
coordinate: [-4.51124038 -0.68376697  1.3526705 ], label: 2, color: b, marker: +
coordinate: [-1.73442685 -0.5598912  -0.44456425], label: 2, color: b, marker: +
coordinate: [-0.89458523 -1.08645677 -0.3634282 ], label: 2, color: b, marker: +
coordinate: [ 3.94944696  0.05023066 -0.87738876], label: 3, color: y, marker: _
coordinate: [ 3.01773019  1.65493439 -0.95709472], label: 0, color: g, marker: _
coordinate: [ 3.94184293 -1.68130337 -1.25486829], label: 3, color: y, marker: _
coordinate: [-3.19945967 -0.96462793  0.25607394], label: 2, color: b, marker: +
coordinate: [7.35861359 1.38226047 2.02511629], label: 1, color: r, marker: _
coordinate: [-0.90865808  1.12587453  0.7199904 ], label: 0, color: g, marker: +
coordinate: [-3.32135744 -0.5876394   0.5523375 ], label: 2, color: b, marker: +
coordinate: [-1.99825216 -0.98767672  0.94479678], label: 2, color: b, marker: +
coordinate: [-1.80620968 -1.18518484  1.30377204], label: 2, color: b, marker: _
coordinate: [-1.70837889  0.17647736 -0.15835581], label: 2, color: b, marker: +
coordinate: [-2.46532282 -1.18346221 -0.67303231], label: 2, color: b, marker: +
coordinate: [-2.25027456  0.05912596 -0.21619159], label: 2, color: b, marker: +
coordinate: [-3.50568061 -0.48300813  0.79308118], label: 2, color: b, marker: +
coordinate: [-3.38492963 -0.46001432  1.14866293], label: 2, color: b, marker: +
coordinate: [-2.36177648 -0.61313332 -0.60396556], label: 2, color: b, marker: +
coordinate: [-1.92454892 -0.2377498  -0.29438277], label: 2, color: b, marker: +
coordinate: [-3.45208517  0.17224717  0.55062452], label: 2, color: b, marker: +
coordinate: [-1.19546301 -0.35213659 -0.54565289], label: 2, color: b, marker: +
coordinate: [ 1.9046425   0.29688564 -0.33615539], label: 0, color: g, marker: _
coordinate: [ 2.98391006  2.24222449 -0.24119548], label: 0, color: g, marker: _
coordinate: [-3.42267175 -0.75827637 -0.26703006], label: 2, color: b, marker: +
coordinate: [-4.53598293 -0.5635234   0.69493814], label: 2, color: b, marker: +
coordinate: [-3.14741047 -0.1825487   0.04812861], label: 2, color: b, marker: +
coordinate: [-2.70800693 -0.20370604  0.81369006], label: 2, color: b, marker: +
coordinate: [3.07168124 1.05488201 0.05834173], label: 3, color: y, marker: _
coordinate: [3.16969068 1.07663534 0.53772519], label: 3, color: y, marker: _
coordinate: [ 0.58197178 -1.89752082 -1.09954773], label: 0, color: g, marker: _
coordinate: [ 0.09923529 -0.60476904 -1.22025645], label: 0, color: g, marker: +
coordinate: [ 5.37035331 -0.96242233  0.44569083], label: 3, color: y, marker: _
coordinate: [-2.5076667  -0.44974956 -0.33350315], label: 2, color: b, marker: +
coordinate: [-0.94300579 -0.93047423 -0.6839268 ], label: 2, color: b, marker: +
